,color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
0, Black and White,Orson Welles,90.0,92.0,,18.0,Everett Sloane,1000.0,90106,Crime|Drama|Film-Noir|Mystery|Thriller,Rita Hayworth,The Lady from Shanghai ,19236,1055,Ted de Corsia,1.0,law partner|murder|partner|seaman|yacht,175.0,English,USA,Not Rated,26144100.000000004,1947,29.0,7.7,1.37,
1,Color,Vincente Minnelli,41.0,102.0,136.0,48.0,Reginald Owen,89.0,30479316,Adventure|Comedy|Musical|Romance,Gladys Cooper,The Pirate ,3258,282,Ellen Ross,0.0,hoop|horseback riding|love|pirate|singer,54.0,English,USA,Approved,38150700.0,1948,78.0,7.1,1.37,359.0
2,Color,George Sidney,21.0,107.0,24.0,83.0,Howard Keel,277.0,83080000,Biography|Comedy|Musical|Romance|Western,Keenan Wynn,Annie Get Your Gun ,3167,731,Betty Hutton,0.0,girl|gun|love|sharpshooter|the end,90.0,English,USA,Passed,39138832.225,1950,244.0,7.0,1.37,456.0
3,Color,Cecil B. DeMille,44.0,152.0,309.0,132.0,Dorothy Lamour,232.0,332316000,Drama|Family|Romance,Gloria Grahame,The Greatest Show on Earth ,9456,825,Cornel Wilde,0.0,circus|clown|elephant trainer|trapeze|trapeze artist,107.0,English,USA,Not Rated,36924000.0,1952,178.0,6.7,1.37,625.0
4,Color,Henry Koster,42.0,135.0,28.0,275.0,Jean Simmons,726.0,329939999,Drama|History,Richard Burton,The Robe ,6359,1920,Victor Mature,1.0,box office hit|crucifixion|nightmare|palestine|robe,69.0,English,USA,Unrated,45824999.99999999,1953,422.0,6.8,2.2,
5, Black and White,Eugène Lourié,67.0,80.0,7.0,21.0,Cecil Kellaway,57.0,45824999,Adventure|Horror|Sci-Fi,Kenneth Tobey,"The Beast from 20,000 Fathoms ",4812,205,Ross Elliott,0.0,arctic|beast|dinosaur|monster|rhedosaurus,88.0,English,USA,Approved,1924649.9999999998,1953,40.0,6.7,1.37,465.0
6, Black and White,Elia Kazan,134.0,108.0,603.0,279.0,Karl Malden,10000.0,87004799,Crime|Drama|Romance,Marlon Brando,On the Waterfront ,100890,11094,Rod Steiger,2.0,death|dock|longshoreman|murder|union,281.0,English,USA,Not Rated,8247329.999999999,1954,416.0,8.2,1.85,
7, Black and White,Billy Wilder,181.0,120.0,,102.0,Joe E. Brown,105.0,210400000,Comedy|Music|Romance,Nehemiah Persoff,Some Like It Hot ,175196,527,George Raft,2.0,all girl band|band|cross dressing|musician|yacht,350.0,English,USA,Not Rated,24270464.768,1959,103.0,8.3,1.66,10000.0
8, Black and White,Alfred Hitchcock,290.0,108.0,13000.0,285.0,Vera Miles,606.0,266015999,Horror|Mystery|Thriller,Janet Leigh,Psycho ,422432,1885,John Gavin,2.0,money|motel|rain|shower|theft,1040.0,English,USA,R,6708150.410999999,1960,332.0,8.5,1.85,18000.0
9,Color,Jerome Robbins,120.0,152.0,34.0,249.0,George Chakiris,804.0,357144300,Crime|Drama|Musical|Romance|Thriller,Rita Moreno,West Side Story ,71919,1802,Richard Beymer,0.0,dance|gang|new york city|puerto rican|tragedy,316.0,English,USA,Unrated,49092000.0,1961,271.0,7.6,2.2,
10,Color,Stanley Kramer,61.0,197.0,176.0,760.0,Sid Caesar,924.0,371372300,Action|Adventure|Comedy|Crime,Jonathan Winters,"It's a Mad, Mad, Mad, Mad World ",29323,4109,Spencer Tracy,0.0,california|desert|dying words|money|race,344.0,English,USA,Approved,75397400.00000001,1963,898.0,7.6,2.76,
11,Color,George Cukor,82.0,170.0,165.0,244.0,Rex Harrison,453.0,568152000,Drama|Family|Musical|Romance,Jeremy Brett,My Fair Lady ,66959,1164,Theodore Bikel,1.0,colonel|flower girl|professor|street|wager,258.0,English,USA,Approved,134147000.0,1964,272.0,7.9,2.2,
12,Color,Robert Stevenson,145.0,139.0,55.0,266.0,Glynis Johns,382.0,807249300,Comedy|Family|Fantasy|Musical,Ed Wynn,Mary Poppins ,107408,2045,Elsa Lanchester,2.0,banker|female protagonist|live action and animation|magic|nanny,259.0,English,USA,Approved,47346000.0,1964,279.0,7.8,1.66,
13, Black and White,Michael Roemer,24.0,95.0,,87.0,Gloria Foster,581.0,98148,Drama|Romance,Yaphet Kotto,Nothing But a Man ,891,835,Ivan Dixon,1.0,1960s|father|railroad|town|worker,26.0,English,USA,Not Rated,1262560.0,1964,99.0,8.1,,363.0
14,Color,George Stevens,27.0,225.0,126.0,202.0,Carroll Baker,940.0,62448000,Biography|Drama|History,Martin Landau,The Greatest Story Ever Told ,6484,1934,José Ferrer,6.0,70mm film|biblical epic|faith|jewish|king herod,100.0,English,USA,G,156120000.0,1965,208.0,6.6,2.76,1000.0
15,Color,David Lean,89.0,200.0,767.0,382.0,Klaus Kinski,597.0,872101932,Drama|Romance|War,Julie Christie,Doctor Zhivago ,55816,1966,Geraldine Chaplin,2.0,bolshevik|poet|poetry|russia|russian revolution,255.0,English,USA,PG-13,85866000.0,1965,396.0,8.0,2.35,7000.0
16,Color,Robert Wise,119.0,174.0,338.0,195.0,Angela Cartwright,354.0,1274050716,Biography|Drama|Family|Musical|Romance,Eleanor Parker,The Sound of Music ,148172,1495,Nicholas Hammond,3.0,austria|children|governess|love|orchestral music score,406.0,English,USA,G,64009200.0,1965,209.0,8.0,2.35,15000.0
17,Color,Sam Peckinpah,53.0,152.0,541.0,288.0,Slim Pickens,773.0,116098,Adventure|War|Western,James Coburn,Major Dundee ,5294,2888,Warren Oates,2.0,apache|apache indian|confederate|mexico|scout,67.0,English,USA,Approved,29662800.0,1965,575.0,6.8,2.35,251.0
18,Color,George Roy Hill,130.0,110.0,131.0,399.0,Ted Cassidy,640.0,699690567,Biography|Crime|Drama|Western,Katharine Ross,Butch Cassidy and the Sundance Kid ,152089,2169,Kenneth Mars,1.0,bolivia|gang|outlaw|posse|train,309.0,English,USA,M,41034000.0,1969,566.0,8.1,2.35,
19,Color,Blake Edwards,22.0,143.0,688.0,42.0,Vernon Dobtcheff,638.0,32210000,Comedy|Drama|Musical|Romance|War,Rock Hudson,Darling Lili ,1547,788,Jeremy Kemp,2.0,crepe suzette|french|mata hari spoof|song|spy,50.0,English,USA,G,161050000.0,1970,50.0,6.2,2.35,104.0
20,Color,Russ Meyer,101.0,109.0,199.0,44.0,Cynthia Myers,503.0,57978000,Comedy|Drama|Music,Charles Napier,Beyond the Valley of the Dolls ,7584,731,Harrison Page,8.0,band|drugs|friendship|hollywood|satire,137.0,English,USA,X,5797800.0,1970,46.0,6.2,2.35,
21,Color,Michael Wadleigh,53.0,215.0,14.0,136.0,Jimi Hendrix,262.0,85678600,Documentary|History|Music,Joe Cocker,Woodstock ,12631,778,Joan Baez,0.0,drugs|hippie|music festival|the who|woodstock,63.0,English,USA,R,3865200.0,1970,227.0,8.1,2.2,
22,Color,Norman Jewison,66.0,181.0,278.0,51.0,Paul Michael Glaser,402.0,305950000,Drama|Family|Musical|Romance,Topol,Fiddler on the Roof ,29839,934,Rosalind Harris,0.0,immigration|jewish|pogrom|tradition|tradition versus modernity,150.0,English,USA,G,55071000.0,1971,343.0,8.0,2.35,
23,Color,Melvin Van Peebles,38.0,97.0,101.0,101.0,Mario Van Peebles,982.0,92886420,Crime|Drama|Thriller,John Amos,Sweet Sweetback's Baadasssss Song ,3340,1631,Melvin Van Peebles,1.0,black panther|hells angels|on the run|racist|racist cop,50.0,English,USA,R,3059500.0,1971,535.0,5.5,1.37,566.0
24,Color,James Bidgood,8.0,65.0,,,Bobby Kendall,0.0,50365,Drama|Fantasy,Don Brooks,Pink Narcissus ,803,0,,1.0,male frontal nudity|male pubic hair|male rear nudity|pubic hair|street hustler,16.0,English,USA,Not Rated,165213.0,1971,0.0,6.7,1.37,85.0
25,Color,Francis Ford Coppola,208.0,175.0,,3000.0,Marlon Brando,14000.0,798954887,Crime|Drama,Al Pacino,The Godfather ,1155770,28122,Robert Duvall,1.0,crime family|mafia|organized crime|patriarch|rise to power,2238.0,English,USA,R,35556000.0,1972,10000.0,9.2,1.85,43000.0
26,Color,John Waters,73.0,108.0,,105.0,Mink Stole,462.0,1069542,Comedy|Crime|Horror,Divine,Pink Flamingos ,16792,760,Edith Massey,2.0,absurd humor|egg|gross out humor|lesbian|sex,183.0,English,USA,NC-17,59260.0,1972,143.0,6.1,1.37,
27,Color,William Friedkin,304.0,132.0,607.0,259.0,Linda Blair,1000.0,1169702670,Horror,Ellen Burstyn,The Exorcist ,284252,2466,Lee J. Cobb,0.0,demonic possession|exorcism|exorcist|loss of innocence|priest,1058.0,English,USA,R,45744000.0,1973,931.0,8.0,1.37,18000.0
28,Color,George Roy Hill,119.0,129.0,131.0,417.0,Robert Shaw,1000.0,912592800,Comedy|Crime|Drama,Eileen Brennan,The Sting ,175607,2387,Ray Walston,0.0,con|con man|courier|long con|murder,252.0,English,USA,PG,31449000.0,1973,559.0,8.3,1.85,
29,Color,George Lucas,100.0,112.0,,425.0,Ron Howard,11000.0,657570000,Comedy|Drama|Music,Harrison Ford,American Graffiti ,63839,14954,Mackenzie Phillips,1.0,california|car|drag racing|high school|rock 'n' roll,238.0,English,USA,PG,4442886.0,1973,2000.0,7.5,2.35,
30,Color,Martin Scorsese,112.0,112.0,17000.0,354.0,David Carradine,22000.0,186664,Crime|Drama|Romance|Thriller,Robert De Niro,Mean Streets ,67797,23737,David Proval,0.0,bar|catholic guilt|epilepsy|italian american|money,223.0,English,USA,R,2859000.0,1973,926.0,7.4,1.85,
31,Color,Francis Ford Coppola,149.0,220.0,,3000.0,Al Pacino,22000.0,298934100,Crime|Drama,Robert De Niro,The Godfather: Part II ,790926,39960,Robert Duvall,1.0,1950s|corrupt politician|lake tahoe nevada|melancholy|revenge,650.0,English,USA,R,67821000.0,1974,14000.0,9.0,1.85,14000.0
32, Black and White,Mel Brooks,129.0,106.0,,481.0,Peter Boyle,1000.0,450227100,Comedy,Madeline Kahn,Young Frankenstein ,112671,2703,Teri Garr,0.0,assistant|castle|experiment|frankenstein's monster|scientist,315.0,English,USA,PG,14607600.000000002,1974,595.0,8.0,1.85,14000.0
33,Color,Mel Brooks,121.0,93.0,,628.0,David Huddleston,1000.0,623431500,Comedy|Western,Madeline Kahn,Blazing Saddles ,95294,4701,Harvey Korman,0.0,railroad|reference to douglas fairbanks|reference to jesse owens|reference to randolph scott|year 1874,363.0,English,USA,R,13564200.000000002,1974,1000.0,7.8,2.35,12000.0
34,Color,Joe Camp,5.0,86.0,24.0,142.0,Peter Breck,407.0,206345914,Adventure|Family|Romance,Frances Bavier,Benji ,3411,1090,Edgar Buchanan,0.0,animal abuse|cat|dog|dog movie|tween girl,36.0,English,USA,G,2608500.0000000005,1974,189.0,6.1,1.85,816.0
35,Color,Tobe Hooper,277.0,88.0,365.0,177.0,Edwin Neal,383.0,160991403,Horror|Thriller,Gunnar Hansen,The Texas Chain Saw Massacre ,96410,1094,Marilyn Burns,0.0,cannibal|chainsaw|hitchhiker|independent film|leatherface,826.0,English,USA,R,435786.444,1974,371.0,7.5,1.85,
36,Color,Tobe Hooper,277.0,88.0,365.0,177.0,Edwin Neal,383.0,160991403,Horror|Thriller,Gunnar Hansen,The Texas Chain Saw Massacre ,96411,1094,Marilyn Burns,0.0,cannibal|chainsaw|hitchhiker|independent film|leatherface,826.0,English,USA,R,435786.444,1974,371.0,7.5,1.85,
37,Color,Steven Spielberg,385.0,130.0,14000.0,366.0,Robert Shaw,813.0,1213680000,Adventure|Drama|Thriller,Roy Scheider,Jaws ,412454,2047,Murray Hamilton,0.0,beach|blockbuster|fishing|great white shark|shark,962.0,English,USA,PG,37344000.0,1975,559.0,8.0,2.35,21000.0
38,Color,Milos Forman,149.0,133.0,869.0,425.0,Michael Berryman,888.0,522816000,Drama,Scatman Crothers,One Flew Over the Cuckoo's Nest ,680041,2176,Louise Fletcher,0.0,1960s|escape|mental institution|nurse|sexuality,760.0,English,USA,R,20539200.0,1975,721.0,8.7,1.85,32000.0
39,Color,Michael Anderson,112.0,119.0,23.0,440.0,Jenny Agutter,1000.0,109400000,Action|Adventure|Sci-Fi,Farrah Fawcett,Logan's Run ,39847,2951,Peter Ustinov,1.0,cat|computer|cult film|runner|sanctuary,242.0,English,USA,PG,39384000.0,1976,659.0,6.8,2.35,
40,Color,John G. Avildsen,141.0,145.0,80.0,794.0,Burgess Meredith,13000.0,513021440,Drama|Sport,Sylvester Stallone,Rocky ,375240,16094,Carl Weathers,0.0,boxer|hometown hero|philadelphia pennsylvania|protective male|training,542.0,English,USA,PG,4200960.0,1976,1000.0,8.1,1.33,
41, Black and White,Richard Attenborough,56.0,175.0,,14.0,Dirk Bogarde,385.0,211277200,Drama|History|War,Ryan O'Neal,A Bridge Too Far ,40277,669,Wolfgang Preiss,14.0,airborne troops|allies|operation market garden|panzer|paratrooper,210.0,English,USA,PG,108134000.0,1977,232.0,7.4,2.35,
42,Color,Steven Spielberg,171.0,135.0,14000.0,252.0,Teri Garr,559.0,533599700,Drama|Sci-Fi,Bob Balaban,Close Encounters of the Third Kind ,139288,1591,Melinda Dillon,0.0,alien|close encounter of the third kind|mothership|ufo|vision,339.0,English,USA,PG,80688218.33,1977,481.0,7.7,2.35,
43,Color,George Lucas,282.0,125.0,,504.0,Peter Cushing,11000.0,1917031430,Action|Adventure|Fantasy|Sci-Fi,Harrison Ford,Star Wars: Episode IV - A New Hope ,911097,13485,Kenny Baker,1.0,death star|empire|galactic war|princess|rebellion,1470.0,English,USA,PG,45749000.0,1977,1000.0,8.7,2.35,33000.0
44,Color,Woody Allen,154.0,93.0,11000.0,629.0,Carol Kane,11000.0,163032800,Comedy|Romance,Woody Allen,Annie Hall ,192940,12691,Shelley Duvall,0.0,breaking the fourth wall|comedian|jewish|neurosis|singer,491.0,English,USA,PG,16636000.0,1977,636.0,8.1,1.37,
45,Color,John 'Bud' Cardos,95.0,97.0,8.0,22.0,Hoke Howell,423.0,70703000,Horror|Sci-Fi,Woody Strode,Kingdom of the Spiders ,3274,516,Tiffany Bolling,0.0,death|farm|hotel|spider|tarantula,84.0,English,USA,PG,2079500.0,1977,23.0,5.9,1.85,
46,Color,Richard Donner,169.0,188.0,503.0,467.0,Margot Kidder,10000.0,522644962,Action|Adventure|Drama|Romance|Sci-Fi,Marlon Brando,Superman ,126357,12940,Ned Beatty,0.0,1970s|clark kent|planet|superhero|year 1978,497.0,English,USA,PG,214169999.99999997,1978,593.0,7.3,2.35,
47,Color,Sidney Lumet,32.0,118.0,,227.0,Diana Ross,738.0,50621999,Adventure|Family|Fantasy|Music|Musical,Lena Horne,The Wiz ,10895,1458,Theresa Merritt,0.0,melancholy|new york city|sadness|teacher|wizard,150.0,English,USA,G,93455999.99999999,1978,295.0,5.2,1.85,
48,Color,Jeannot Szwarc,75.0,131.0,82.0,85.0,Murray Hamilton,813.0,400779732,Adventure|Horror|Thriller,Roy Scheider,Jaws 2 ,51314,1520,Joseph Mascolo,0.0,great white shark|island|mayor|police chief|shark,265.0,English,USA,PG,77880000.0,1978,366.0,5.7,2.35,
49,Color,Randal Kleiser,124.0,110.0,116.0,898.0,Stockard Channing,1000.0,706215840,Musical|Romance,Olivia Newton-John,Grease ,170027,5127,Sid Caesar,2.0,automobile racing|boyfriend girlfriend relationship|high school|wrestling|year 1959,350.0,English,USA,PG-13,23363999.999999996,1978,944.0,7.2,2.35,13000.0
50,Color,John Landis,94.0,109.0,644.0,559.0,Karen Allen,1000.0,551390400,Comedy,John Belushi,Animal House ,90177,3468,Tim Matheson,6.0,academic probation|camera shot of feet|fraternity|school expulsion|smashing a guitar,257.0,English,USA,R,11681999.999999998,1978,783.0,7.6,1.85,
51,Color,John Carpenter,318.0,101.0,,598.0,Donald Pleasence,2000.0,183018000,Horror|Thriller,Jamie Lee Curtis,Halloween ,157857,4400,P.J. Soles,0.0,halloween|masked killer|michael myers|slasher|trick or treat,1191.0,English,USA,R,1168200.0,1978,742.0,7.9,2.35,12000.0
52,Color,John Carpenter,318.0,101.0,,598.0,Donald Pleasence,2000.0,183018000,Horror|Thriller,Jamie Lee Curtis,Halloween ,157857,4400,P.J. Soles,0.0,halloween|masked killer|michael myers|slasher|trick or treat,1191.0,English,USA,R,1168200.0,1978,742.0,7.9,2.35,12000.0
53,Color,John Carpenter,318.0,101.0,,598.0,Donald Pleasence,2000.0,183018000,Horror|Thriller,Jamie Lee Curtis,Halloween ,157863,4400,P.J. Soles,0.0,halloween|masked killer|michael myers|slasher|trick or treat,1191.0,English,USA,R,1168200.0,1978,742.0,7.9,2.35,12000.0
54,Color,Martin Scorsese,71.0,117.0,17000.0,476.0,Levon Helm,725.0,1253681,Documentary|Music,Ringo Starr,The Last Waltz ,12611,2783,Bob Dylan,0.0,band|final concert|guitar|interview|thanksgiving,113.0,English,USA,PG,,1978,572.0,8.2,1.85,
55,Color,Robert Wise,134.0,143.0,338.0,643.0,Nichelle Nichols,12000.0,293317199,Adventure|Mystery|Sci-Fi,Leonard Nimoy,Star Trek: The Motion Picture ,63330,16007,Walter Koenig,2.0,alien|space|space station|spacecraft|warp speed,405.0,English,USA,PG,124739999.99999999,1979,664.0,6.4,2.35,
56,Color,Francis Ford Coppola,261.0,289.0,,3000.0,Marlon Brando,11000.0,280843199,Drama|War,Harrison Ford,Apocalypse Now ,450676,25313,Robert Duvall,1.0,army|green beret|insanity|jungle|vietnam,983.0,English,USA,R,112265999.99999999,1979,10000.0,8.5,2.35,19000.0
57,Color,Mark Rydell,32.0,125.0,43.0,122.0,Frederic Forrest,563.0,104068799,Drama|Music|Romance,David Keith,The Rose ,6142,1097,Alan Bates,0.0,awol|demand|driver|drugs|roses,52.0,English,USA,R,30293999.999999996,1979,236.0,6.9,1.85,1000.0
58,Color,Don Siegel,53.0,112.0,152.0,459.0,Patrick McGoohan,16000.0,130085999,Biography|Crime|Drama,Clint Eastwood,Escape from Alcatraz ,87090,17568,Fred Ward,0.0,alcatraz|escape|inmate|island|prison,142.0,English,USA,PG,28511999.999999996,1979,466.0,7.6,1.85,
59,Color,Richard Lester,121.0,116.0,44.0,420.0,Ned Beatty,593.0,338666000,Action|Adventure|Romance|Sci-Fi,Margot Kidder,Superman II ,76331,2908,Jackie Cooper,4.0,alien invasion|based on comic book|flying superhero|phantom zone|revenge,269.0,English,USA,PG,169020000.0,1980,467.0,6.8,2.35,
60,Color,Michael Cimino,102.0,325.0,517.0,678.0,Sam Waterston,12000.0,4695000,Adventure|Drama|Western,Jeff Bridges,Heaven's Gate ,9830,14255,Isabelle Huppert,0.0,1890s|hired gun|immigrant|johnson county war|sheriff,189.0,English,USA,R,137720000.0,1980,849.0,6.8,2.35,1000.0
61,Color,John Landis,125.0,148.0,644.0,326.0,Aretha Franklin,1000.0,169646000,Action|Comedy|Crime|Music,John Belushi,The Blues Brothers ,142448,2566,Ray Charles,1.0,band|catholic|money|parolee|prison,319.0,English,USA,R,84510000.0,1980,809.0,7.9,1.85,14000.0
62,Color,Nancy Walker,26.0,124.0,42.0,161.0,Randy Jones,801.0,6260000,Biography|Comedy|Musical,Steve Guttenberg,Can't Stop the Music ,2998,1462,Caitlyn Jenner,0.0,male frontal nudity|male full frontal nudity|male nudity|male rear nudity|new york city,74.0,English,USA,PG,62600000.0,1980,174.0,4.5,2.35,1000.0
63,Color,Irvin Kershner,223.0,127.0,883.0,441.0,Kenny Baker,11000.0,908196890,Action|Adventure|Fantasy|Sci-Fi,Harrison Ford,Star Wars: Episode V - The Empire Strikes Back ,837759,12643,Anthony Daniels,0.0,duel|famous twist|rebel|rescue|snowy landscape,900.0,English,USA,PG,56340000.0,1980,504.0,8.8,2.35,17000.0
64, Black and White,Martin Scorsese,151.0,121.0,17000.0,356.0,Cathy Moriarty,22000.0,141632,Biography|Drama|Sport,Robert De Niro,Raging Bull ,235133,23008,Frank Vincent,1.0,boxing|domestic violence|hot temper|jealousy|rage,494.0,English,USA,R,56340000.0,1980,394.0,8.3,1.85,
65,Color,Howard Zieff,25.0,109.0,6.0,271.0,Albert Brooks,1000.0,218474000,Comedy|War,Eileen Brennan,Private Benjamin ,18140,2419,Alan Oppenheimer,1.0,camera shot of feet|female stockinged feet|loss of husband|pantyhose|suntan pantyhose,60.0,English,USA,R,31300000.0,1980,745.0,6.1,1.85,855.0
66,Color,Brian De Palma,121.0,104.0,,517.0,David Margulies,754.0,99843870,Mystery|Romance|Thriller,Angie Dickinson,Dressed to Kill ,23986,2442,Nancy Allen,0.0,apartment|elevator|murder|psychiatrist|sunglasses,201.0,English,USA,X,20345000.0,1980,567.0,7.1,2.35,
67,Color,Robert Redford,62.0,124.0,,535.0,Elizabeth McGovern,2000.0,171524000,Drama,Adam Baldwin,Ordinary People ,35130,5122,Judd Hirsch,3.0,choir|death|friend|suicide|therapy,283.0,English,USA,R,18780000.0,1980,553.0,7.8,1.85,
68,Color,Harold Ramis,71.0,98.0,11000.0,484.0,Rodney Dangerfield,13000.0,124574000,Comedy|Sport,Bill Murray,Caddyshack ,81599,14921,Brian Doyle-Murray,3.0,caddy|country club|golf course|gopher|nudity,250.0,English,USA,R,18780000.0,1980,573.0,7.4,1.85,
69,Color,Jim Abrahams,134.0,88.0,104.0,318.0,Lloyd Bridges,628.0,261042000,Comedy,Peter Graves,Airplane! ,160281,2726,Barbara Billingsley,0.0,air traffic controller|airplane|airport|pilot|spoof,427.0,English,USA,PG,10955000.0,1980,575.0,7.8,1.85,16000.0
