color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
 Black and White,Orson Welles,90,92,,18,Everett Sloane,1000,90106,Crime|Drama|Film-Noir|Mystery|Thriller,Rita Hayworth,The Lady from Shanghai ,19236,1055,Ted de Corsia,1,law partner|murder|partner|seaman|yacht,175,English,USA,Not Rated,26144100,1947,29,7.7,1.37,
Color,Vincente Minnelli,41,102,136,48,Reginald Owen,89,30479316,Adventure|Comedy|Musical|Romance,Gladys Cooper,The Pirate ,3258,282,Ellen Ross,0,hoop|horseback riding|love|pirate|singer,54,English,USA,Approved,38150700,1948,78,7.1,1.37,359
Color,George Sidney,21,107,24,83,Howard Keel,277,83080000,Biography|Comedy|Musical|Romance|Western,Keenan Wynn,Annie Get Your Gun ,3167,731,Betty Hutton,0,girl|gun|love|sharpshooter|the end,90,English,USA,Passed,39138832.23,1950,244,7,1.37,456
Color,Cecil B. DeMille,44,152,309,132,Dorothy Lamour,232,332316000,Drama|Family|Romance,Gloria Grahame,The Greatest Show on Earth ,9456,825,Cornel Wilde,0,circus|clown|elephant trainer|trapeze|trapeze artist,107,English,USA,Not Rated,36924000,1952,178,6.7,1.37,625
Color,Henry Koster,42,135,28,275,Jean Simmons,726,329939999,Drama|History,Richard Burton,The Robe ,6359,1920,Victor Mature,1,box office hit|crucifixion|nightmare|palestine|robe,69,English,USA,Unrated,45825000,1953,422,6.8,2.2,
 Black and White,Eugène Lourié,67,80,7,21,Cecil Kellaway,57,45824999,Adventure|Horror|Sci-Fi,Kenneth Tobey,"The Beast from 20,000 Fathoms ",4812,205,Ross Elliott,0,arctic|beast|dinosaur|monster|rhedosaurus,88,English,USA,Approved,1924650,1953,40,6.7,1.37,465
 Black and White,Elia Kazan,134,108,603,279,Karl Malden,10000,87004799,Crime|Drama|Romance,Marlon Brando,On the Waterfront ,100890,11094,Rod Steiger,2,death|dock|longshoreman|murder|union,281,English,USA,Not Rated,8247330,1954,416,8.2,1.85,
 Black and White,Billy Wilder,181,120,,102,Joe E. Brown,105,210400000,Comedy|Music|Romance,Nehemiah Persoff,Some Like It Hot ,175196,527,George Raft,2,all girl band|band|cross dressing|musician|yacht,350,English,USA,Not Rated,24270464.77,1959,103,8.3,1.66,10000
 Black and White,Alfred Hitchcock,290,108,13000,285,Vera Miles,606,266015999,Horror|Mystery|Thriller,Janet Leigh,Psycho ,422432,1885,John Gavin,2,money|motel|rain|shower|theft,1040,English,USA,R,6708150.411,1960,332,8.5,1.85,18000
Color,Jerome Robbins,120,152,34,249,George Chakiris,804,357144300,Crime|Drama|Musical|Romance|Thriller,Rita Moreno,West Side Story ,71919,1802,Richard Beymer,0,dance|gang|new york city|puerto rican|tragedy,316,English,USA,Unrated,49092000,1961,271,7.6,2.2,
Color,Stanley Kramer,61,197,176,760,Sid Caesar,924,371372300,Action|Adventure|Comedy|Crime,Jonathan Winters,"It's a Mad, Mad, Mad, Mad World ",29323,4109,Spencer Tracy,0,california|desert|dying words|money|race,344,English,USA,Approved,75397400,1963,898,7.6,2.76,
Color,George Cukor,82,170,165,244,Rex Harrison,453,568152000,Drama|Family|Musical|Romance,Jeremy Brett,My Fair Lady ,66959,1164,Theodore Bikel,1,colonel|flower girl|professor|street|wager,258,English,USA,Approved,134147000,1964,272,7.9,2.2,
Color,Robert Stevenson,145,139,55,266,Glynis Johns,382,807249300,Comedy|Family|Fantasy|Musical,Ed Wynn,Mary Poppins ,107408,2045,Elsa Lanchester,2,banker|female protagonist|live action and animation|magic|nanny,259,English,USA,Approved,47346000,1964,279,7.8,1.66,
 Black and White,Michael Roemer,24,95,,87,Gloria Foster,581,98148,Drama|Romance,Yaphet Kotto,Nothing But a Man ,891,835,Ivan Dixon,1,1960s|father|railroad|town|worker,26,English,USA,Not Rated,1262560,1964,99,8.1,,363
Color,George Stevens,27,225,126,202,Carroll Baker,940,62448000,Biography|Drama|History,Martin Landau,The Greatest Story Ever Told ,6484,1934,José Ferrer,6,70mm film|biblical epic|faith|jewish|king herod,100,English,USA,G,156120000,1965,208,6.6,2.76,1000
Color,David Lean,89,200,767,382,Klaus Kinski,597,872101932,Drama|Romance|War,Julie Christie,Doctor Zhivago ,55816,1966,Geraldine Chaplin,2,bolshevik|poet|poetry|russia|russian revolution,255,English,USA,PG-13,85866000,1965,396,8,2.35,7000
Color,Robert Wise,119,174,338,195,Angela Cartwright,354,1274050716,Biography|Drama|Family|Musical|Romance,Eleanor Parker,The Sound of Music ,148172,1495,Nicholas Hammond,3,austria|children|governess|love|orchestral music score,406,English,USA,G,64009200,1965,209,8,2.35,15000
Color,Sam Peckinpah,53,152,541,288,Slim Pickens,773,116098,Adventure|War|Western,James Coburn,Major Dundee ,5294,2888,Warren Oates,2,apache|apache indian|confederate|mexico|scout,67,English,USA,Approved,29662800,1965,575,6.8,2.35,251
Color,George Roy Hill,130,110,131,399,Ted Cassidy,640,699690567,Biography|Crime|Drama|Western,Katharine Ross,Butch Cassidy and the Sundance Kid ,152089,2169,Kenneth Mars,1,bolivia|gang|outlaw|posse|train,309,English,USA,M,41034000,1969,566,8.1,2.35,
Color,Blake Edwards,22,143,688,42,Vernon Dobtcheff,638,32210000,Comedy|Drama|Musical|Romance|War,Rock Hudson,Darling Lili ,1547,788,Jeremy Kemp,2,crepe suzette|french|mata hari spoof|song|spy,50,English,USA,G,161050000,1970,50,6.2,2.35,104
Color,Russ Meyer,101,109,199,44,Cynthia Myers,503,57978000,Comedy|Drama|Music,Charles Napier,Beyond the Valley of the Dolls ,7584,731,Harrison Page,8,band|drugs|friendship|hollywood|satire,137,English,USA,X,5797800,1970,46,6.2,2.35,
Color,Michael Wadleigh,53,215,14,136,Jimi Hendrix,262,85678600,Documentary|History|Music,Joe Cocker,Woodstock ,12631,778,Joan Baez,0,drugs|hippie|music festival|the who|woodstock,63,English,USA,R,3865200,1970,227,8.1,2.2,
Color,Norman Jewison,66,181,278,51,Paul Michael Glaser,402,305950000,Drama|Family|Musical|Romance,Topol,Fiddler on the Roof ,29839,934,Rosalind Harris,0,immigration|jewish|pogrom|tradition|tradition versus modernity,150,English,USA,G,55071000,1971,343,8,2.35,
Color,Melvin Van Peebles,38,97,101,101,Mario Van Peebles,982,92886420,Crime|Drama|Thriller,John Amos,Sweet Sweetback's Baadasssss Song ,3340,1631,Melvin Van Peebles,1,black panther|hells angels|on the run|racist|racist cop,50,English,USA,R,3059500,1971,535,5.5,1.37,566
Color,James Bidgood,8,65,,,Bobby Kendall,0,50365,Drama|Fantasy,Don Brooks,Pink Narcissus ,803,0,,1,male frontal nudity|male pubic hair|male rear nudity|pubic hair|street hustler,16,English,USA,Not Rated,165213,1971,0,6.7,1.37,85
Color,Francis Ford Coppola,208,175,,3000,Marlon Brando,14000,798954887,Crime|Drama,Al Pacino,The Godfather ,1155770,28122,Robert Duvall,1,crime family|mafia|organized crime|patriarch|rise to power,2238,English,USA,R,35556000,1972,10000,9.2,1.85,43000
Color,John Waters,73,108,,105,Mink Stole,462,1069542,Comedy|Crime|Horror,Divine,Pink Flamingos ,16792,760,Edith Massey,2,absurd humor|egg|gross out humor|lesbian|sex,183,English,USA,NC-17,59260,1972,143,6.1,1.37,
Color,William Friedkin,304,132,607,259,Linda Blair,1000,1169702670,Horror,Ellen Burstyn,The Exorcist ,284252,2466,Lee J. Cobb,0,demonic possession|exorcism|exorcist|loss of innocence|priest,1058,English,USA,R,45744000,1973,931,8,1.37,18000
Color,George Roy Hill,119,129,131,417,Robert Shaw,1000,912592800,Comedy|Crime|Drama,Eileen Brennan,The Sting ,175607,2387,Ray Walston,0,con|con man|courier|long con|murder,252,English,USA,PG,31449000,1973,559,8.3,1.85,
Color,George Lucas,100,112,,425,Ron Howard,11000,657570000,Comedy|Drama|Music,Harrison Ford,American Graffiti ,63839,14954,Mackenzie Phillips,1,california|car|drag racing|high school|rock 'n' roll,238,English,USA,PG,4442886,1973,2000,7.5,2.35,
Color,Martin Scorsese,112,112,17000,354,David Carradine,22000,186664,Crime|Drama|Romance|Thriller,Robert De Niro,Mean Streets ,67797,23737,David Proval,0,bar|catholic guilt|epilepsy|italian american|money,223,English,USA,R,2859000,1973,926,7.4,1.85,
Color,Francis Ford Coppola,149,220,,3000,Al Pacino,22000,298934100,Crime|Drama,Robert De Niro,The Godfather: Part II ,790926,39960,Robert Duvall,1,1950s|corrupt politician|lake tahoe nevada|melancholy|revenge,650,English,USA,R,67821000,1974,14000,9,1.85,14000
 Black and White,Mel Brooks,129,106,,481,Peter Boyle,1000,450227100,Comedy,Madeline Kahn,Young Frankenstein ,112671,2703,Teri Garr,0,assistant|castle|experiment|frankenstein's monster|scientist,315,English,USA,PG,14607600,1974,595,8,1.85,14000
Color,Mel Brooks,121,93,,628,David Huddleston,1000,623431500,Comedy|Western,Madeline Kahn,Blazing Saddles ,95294,4701,Harvey Korman,0,railroad|reference to douglas fairbanks|reference to jesse owens|reference to randolph scott|year 1874,363,English,USA,R,13564200,1974,1000,7.8,2.35,12000
Color,Joe Camp,5,86,24,142,Peter Breck,407,206345914,Adventure|Family|Romance,Frances Bavier,Benji ,3411,1090,Edgar Buchanan,0,animal abuse|cat|dog|dog movie|tween girl,36,English,USA,G,2608500,1974,189,6.1,1.85,816
Color,Tobe Hooper,277,88,365,177,Edwin Neal,383,160991403,Horror|Thriller,Gunnar Hansen,The Texas Chain Saw Massacre ,96410,1094,Marilyn Burns,0,cannibal|chainsaw|hitchhiker|independent film|leatherface,826,English,USA,R,435786.444,1974,371,7.5,1.85,
Color,Tobe Hooper,277,88,365,177,Edwin Neal,383,160991403,Horror|Thriller,Gunnar Hansen,The Texas Chain Saw Massacre ,96411,1094,Marilyn Burns,0,cannibal|chainsaw|hitchhiker|independent film|leatherface,826,English,USA,R,435786.444,1974,371,7.5,1.85,
Color,Steven Spielberg,385,130,14000,366,Robert Shaw,813,1213680000,Adventure|Drama|Thriller,Roy Scheider,Jaws ,412454,2047,Murray Hamilton,0,beach|blockbuster|fishing|great white shark|shark,962,English,USA,PG,37344000,1975,559,8,2.35,21000
Color,Milos Forman,149,133,869,425,Michael Berryman,888,522816000,Drama,Scatman Crothers,One Flew Over the Cuckoo's Nest ,680041,2176,Louise Fletcher,0,1960s|escape|mental institution|nurse|sexuality,760,English,USA,R,20539200,1975,721,8.7,1.85,32000
Color,Michael Anderson,112,119,23,440,Jenny Agutter,1000,109400000,Action|Adventure|Sci-Fi,Farrah Fawcett,Logan's Run ,39847,2951,Peter Ustinov,1,cat|computer|cult film|runner|sanctuary,242,English,USA,PG,39384000,1976,659,6.8,2.35,
Color,John G. Avildsen,141,145,80,794,Burgess Meredith,13000,513021440,Drama|Sport,Sylvester Stallone,Rocky ,375240,16094,Carl Weathers,0,boxer|hometown hero|philadelphia pennsylvania|protective male|training,542,English,USA,PG,4200960,1976,1000,8.1,1.33,
 Black and White,Richard Attenborough,56,175,,14,Dirk Bogarde,385,211277200,Drama|History|War,Ryan O'Neal,A Bridge Too Far ,40277,669,Wolfgang Preiss,14,airborne troops|allies|operation market garden|panzer|paratrooper,210,English,USA,PG,108134000,1977,232,7.4,2.35,
Color,Steven Spielberg,171,135,14000,252,Teri Garr,559,533599700,Drama|Sci-Fi,Bob Balaban,Close Encounters of the Third Kind ,139288,1591,Melinda Dillon,0,alien|close encounter of the third kind|mothership|ufo|vision,339,English,USA,PG,80688218.33,1977,481,7.7,2.35,
Color,George Lucas,282,125,,504,Peter Cushing,11000,1917031430,Action|Adventure|Fantasy|Sci-Fi,Harrison Ford,Star Wars: Episode IV - A New Hope ,911097,13485,Kenny Baker,1,death star|empire|galactic war|princess|rebellion,1470,English,USA,PG,45749000,1977,1000,8.7,2.35,33000
Color,Woody Allen,154,93,11000,629,Carol Kane,11000,163032800,Comedy|Romance,Woody Allen,Annie Hall ,192940,12691,Shelley Duvall,0,breaking the fourth wall|comedian|jewish|neurosis|singer,491,English,USA,PG,16636000,1977,636,8.1,1.37,
Color,John 'Bud' Cardos,95,97,8,22,Hoke Howell,423,70703000,Horror|Sci-Fi,Woody Strode,Kingdom of the Spiders ,3274,516,Tiffany Bolling,0,death|farm|hotel|spider|tarantula,84,English,USA,PG,2079500,1977,23,5.9,1.85,
Color,Richard Donner,169,188,503,467,Margot Kidder,10000,522644962,Action|Adventure|Drama|Romance|Sci-Fi,Marlon Brando,Superman ,126357,12940,Ned Beatty,0,1970s|clark kent|planet|superhero|year 1978,497,English,USA,PG,214170000,1978,593,7.3,2.35,
Color,Sidney Lumet,32,118,,227,Diana Ross,738,50621999,Adventure|Family|Fantasy|Music|Musical,Lena Horne,The Wiz ,10895,1458,Theresa Merritt,0,melancholy|new york city|sadness|teacher|wizard,150,English,USA,G,93456000,1978,295,5.2,1.85,
